# step h OmegaM OmegaL chi2
437 0.70415821 0.33346997 0.86014346 564.16262190
438 0.70724270 0.34352755 0.85526746 565.48422423
439 0.70387718 0.34709792 0.83671687 563.56079805
440 0.70866415 0.33316791 0.85119249 566.89242632
441 0.70147354 0.34605690 0.82653861 563.23631050
442 0.69800707 0.32531948 0.82495968 568.33188699
443 0.70401381 0.31896352 0.81938094 563.10657554
444 0.69820240 0.30959243 0.78614257 565.09507220
445 0.70254549 0.30535777 0.80417487 563.12183492
446 0.70219696 0.31652897 0.81779801 563.35537555
447 0.70756557 0.30488067 0.81378409 565.69622178
448 0.70161908 0.29395236 0.80342607 564.67393403
449 0.70455994 0.30440720 0.81771426 563.57588100
450 0.70164767 0.30310778 0.80691134 563.95972467
451 0.70376994 0.29455568 0.80888336 563.83435233
452 0.69665470 0.29461218 0.78116015 569.35908937
453 0.69582344 0.29676102 0.79011156 572.64773770
454 0.70363968 0.28575029 0.76579113 562.97517094
455 0.69996465 0.28891906 0.74942946 562.47770899
456 0.69702937 0.28857514 0.73335541 563.91477582
457 0.70058885 0.31890472 0.74732175 563.63185315
458 0.70338902 0.31752180 0.77595536 563.85146345
459 0.69324523 0.31704370 0.75052745 569.56915426
460 0.69529005 0.30852343 0.72010866 564.55723975
461 0.69866028 0.30068392 0.69244358 564.62205943
462 0.69700360 0.30364201 0.71099308 563.38840640
463 0.69516990 0.33351346 0.70005471 566.91706534
464 0.69620597 0.34826732 0.69677331 570.33930503
465 0.69403961 0.35181397 0.69404145 570.23694330
466 0.69798602 0.34082181 0.72788934 566.48331035
467 0.69672056 0.28562910 0.71498162 563.40488097
468 0.69543483 0.32269753 0.74580773 565.16040482
469 0.70074943 0.32447230 0.75189638 564.00643044
470 0.70400155 0.30618913 0.79075846 563.07809882
471 0.70030767 0.32673023 0.79779308 562.96883297
472 0.70374603 0.32830296 0.83022250 563.14996716
473 0.69686220 0.31866438 0.80292802 568.37337502
474 0.70017518 0.34545943 0.79516402 563.47004431
475 0.69738873 0.32953951 0.78535717 564.69683906
476 0.69594558 0.32822041 0.76450000 565.30450427
477 0.70256423 0.31567184 0.73827974 566.20311652
478 0.69330206 0.34500981 0.72914190 567.80381333
479 0.70360955 0.32648355 0.74184686 569.57892365
480 0.69747985 0.34544285 0.76143014 564.64614674
481 0.69798697 0.33331767 0.74990486 564.01012927
482 0.70318683 0.29296894 0.74052084 563.98513667
483 0.69817467 0.30702275 0.71072540 563.67676687
484 0.69485904 0.31294611 0.70178216 564.96375528
485 0.69259278 0.28626583 0.68002009 566.84855527
486 0.69544221 0.28606040 0.68820398 563.77636334
487 0.69408783 0.28833481 0.67279924 564.77888474
488 0.69577235 0.30117719 0.68900465 564.17954247
489 0.69433913 0.29796458 0.68745771 564.83880387
490 0.70665588 0.26561538 0.72265133 568.60770583
491 0.70475080 0.25129869 0.72246812 564.60467276
492 0.70393445 0.23422644 0.69316428 564.63735938
493 0.70248337 0.22384789 0.68177660 563.85599617
494 0.70361540 0.22219889 0.66410064 565.45590906
495 0.70385719 0.22325723 0.65651807 566.43604072
496 0.70396315 0.20585760 0.63112315 567.81326695
497 0.69777588 0.20314459 0.62967116 563.87498613
498 0.70102053 0.22106520 0.60990727 566.53432940
499 0.69334388 0.23231567 0.56732433 565.43284757
500 0.69380776 0.21718414 0.54692683 565.64344593
501 0.69233272 0.20993360 0.53997821 565.67935480
502 0.69402089 0.19713869 0.53884252 564.92491935
503 0.70021156 0.17819198 0.57714734 565.50620118
504 0.69459480 0.16991297 0.54842320 565.07738570
505 0.69892791 0.19177819 0.56973642 565.26297640
506 0.69662390 0.20431106 0.55835724 565.04222689
507 0.69879736 0.21608684 0.56047653 568.92516130
508 0.69744729 0.20862693 0.55246988 566.91184392
509 0.69300733 0.18379521 0.52386533 565.29022830
510 0.69369579 0.19813424 0.53513699 565.14021798
511 0.69118902 0.19325978 0.51306975 566.51447505
512 0.69535478 0.17672310 0.54028187 564.52114591
513 0.69365614 0.18706658 0.53621336 564.85691900
514 0.69339732 0.18125258 0.53347261 565.03559914
515 0.69518168 0.21600391 0.55271419 565.61629292
516 0.69510810 0.17220210 0.54936901 564.68367207
517 0.69839369 0.18562360 0.55929877 565.20332667
518 0.69755980 0.18198073 0.56392424 564.30145725
519 0.69314906 0.19946713 0.54876781 564.90468488
520 0.69601012 0.19765672 0.53850218 565.76770702
521 0.69830464 0.17882534 0.56724458 564.51812069
522 0.69976734 0.18375853 0.59671800 564.42990799
523 0.69523205 0.18713383 0.58367040 564.70726558
524 0.69491314 0.20285216 0.59286822 564.20590560
525 0.69888264 0.17835171 0.60425429 564.61974646
526 0.70396579 0.20296214 0.63530319 567.26284685
527 0.69143050 0.21781622 0.63130601 571.94684108
528 0.69597110 0.17443034 0.62404174 569.99649443
529 0.70029991 0.16915785 0.61468916 565.88143706
530 0.70106804 0.17546743 0.62127347 565.54006063
531 0.70011961 0.15179295 0.65449230 575.06082891
532 0.70418720 0.16635676 0.66638502 570.11598905
533 0.69921135 0.18394280 0.67468075 570.89509054
534 0.70153653 0.19501543 0.66406066 565.46003087
